Company,Rank,Year,Revenue (in millions),Profit (in millions)
"Bemis Company, Inc.",462,2011,4890,
Meritor Inc.,463,2011,4882,
"Dick's Sporting Goods, Inc.",464,2011,4871.5,
General Cable Corporation,465,2011,4864.9,
"Rockwell Automation, Inc.",466,2011,4857,
United Stationers Inc.,467,2011,4832.2,
SanDisk Corporation,468,2011,4826.8,
NCR Corporation,469,2011,4819,
The Washington Post Company,470,2011,4817.1,
"Insight Enterprises, Inc.",471,2011,4809.9,
Alliant Techsystems Inc.,472,2011,4807.7,
Atmos Energy Corporation,473,2011,4789.7,
AbitibiBowater Inc.,474,2011,4746,
W.R. Berkley Corporation,475,2011,4724.1,
Biogen Idec Inc.,476,2011,4716.4,
Cliffs Natural Resources Inc.,477,2011,4682.2,
"Rockwell Collins, Inc.",478,2011,4665,
Phillips-Van Heusen Corporation,479,2011,4636.8,
"Graybar Electric Company, Inc.",480,2011,4616.4,
El Paso Corporation,481,2011,4616,
The J.M. Smucker Company,482,2011,4605.3,
SCANA Corporation,483,2011,4601,
Cognizant Technology Solutions Corporation,484,2011,4592.4,
Terex Corporation,485,2011,4575.9,
"PulteGroup, Inc.",486,2011,4569.3,
Genzyme Corporation,487,2011,4535.9,
YRC Worldwide Inc.,488,2011,4528.8,
"American Financial Group, Inc.",489,2011,4497,
Sealed Air Corporation,490,2011,4490.1,
The Charles Schwab Corporation,491,2011,4474,
RadioShack Corporation,492,2011,4472.7,
Centene Corporation,493,2011,4470.1,
"Host Hotels & Resorts, Inc.",494,2011,4442,
NYSE Euronext,495,2011,4425,
Levi Strauss & Co.,496,2011,4410.6,
NuStar Energy L.P.,497,2011,4403.1,
Ruddick Corporation,498,2011,4400.5,
"D.R. Horton, Inc.",499,2011,4400.2,
Seaboard Corporation,500,2011,4385.7,
Exxon Mobil Corporation,1,2012,452926,
"Wal-Mart Stores, Inc.",2,2012,446950,
Chevron Corporation,3,2012,245621,
ConocoPhillips,4,2012,237272,
General Motors Company,5,2012,150276,
General Electric Company,6,2012,147616,
Berkshire Hathaway Inc.,7,2012,143688,
Fannie Mae,8,2012,137451,
Ford Motor Company,9,2012,136264,
Hewlett-Packard Company,10,2012,127245,
AT&T Inc.,11,2012,126723,
Valero Energy Corporation,12,2012,125095,
Bank of America Corporation,13,2012,115074,
McKesson Corporation,14,2012,112084,
Verizon Communications Inc.,15,2012,110875,
J.P. Morgan Chase & Co.,16,2012,110838,
"Apple, Inc.",17,2012,108249,
CVS Caremark Corporation,18,2012,107750,
International Business Machines Corporation,19,2012,106916,
Citigroup Inc.,20,2012,102939,
"Cardinal Health, Inc.",21,2012,102644.2,
UnitedHealth Group Incorporated,22,2012,101862,
The Kroger Company,23,2012,90374,
Costco Wholesale Corporation,24,2012,88915,
Freddie Mac,25,2012,88262,
Wells Fargo & Company,26,2012,87597,
The Procter & Gamble Company,27,2012,82559,
Archer-Daniels-Midland Company,28,2012,80676,
AmerisourceBergen Corp.,29,2012,80217.6,
INTL FCStone Inc.,30,2012,75497.6,
Marathon Petroleum Corporation,31,2012,73645,
Walgreen Co.,32,2012,72184,
"American International Group,Inc.",33,2012,71730,
"MetLife, Inc.",34,2012,70641,
"The Home Depot, Inc.",35,2012,70395,
"Medco Health Solutions, Inc.",36,2012,70063.3,
Microsoft Corporation,37,2012,69943,
Target Corporation,38,2012,69865,
The Boeing Company,39,2012,68735,
Pfizer Inc.,40,2012,67932,
"PepsiCo, Inc.",41,2012,66504,
Johnson & Johnson,42,2012,65030,
State Farm Insurance Cos.,43,2012,64305.1,
Dell Inc.,44,2012,62071,
"WellPoint, Inc.",45,2012,60710.7,
Caterpillar Inc.,46,2012,60138,
The Dow Chemical Company,47,2012,59985,
United Technologies Corporation,48,2012,58190,
Comcast Corporation,49,2012,55842,
Kraft Foods Inc.,50,2012,54365,
Intel Corporation,51,2012,53999,
"United Parcel Service, Inc.",52,2012,53105,
"Best Buy Co., Inc.",53,2012,50272,
"Lowe's Companies, Inc.",54,2012,50208,
"Prudential Financial, Inc.",55,2012,49045,
"Amazon.com, Inc.",56,2012,48077,
"Merck & Co., Inc.",57,2012,48047,
Lockheed Martin Corporation,58,2012,46692,
The Coca-Cola Company,59,2012,46542,
Express Scripts Holding Company,60,2012,46128.3,
"Sunoco, Inc.",61,2012,45765,
Enterprise Products Partners L.P.,62,2012,44313,
Safeway Inc.,63,2012,43630.2,
"Cisco Systems, Inc.",64,2012,43218,
Sears Holdings Corporation,65,2012,41567,
The Walt Disney Company,66,2012,40893,
"Johnson Controls, Inc.",67,2012,40833,
Morgan Stanley,68,2012,39376,
Sysco Corporation,69,2012,39323.5,
FedEx Corporation,70,2012,39304,
Abbott Laboratories,71,2012,38851.3,
E.I. du Pont de Nemours and Company,72,2012,38719,
Google Inc.,73,2012,37905,
Hess Corporation,74,2012,37871,
Supervalu Inc.,75,2012,37534,
"United Continental Holdings, Inc.",76,2012,37110,
Honeywell International Inc.,77,2012,37059,
CHS Inc.,78,2012,36915.8,
Humana Inc.,79,2012,36832,
"The Goldman Sachs Group, Inc.",80,2012,36793,
Ingram Micro Inc.,81,2012,36328.7,
Oracle Corporation,82,2012,35622,
"Delta Air Lines, Inc.",83,2012,35115,
Liberty Mutual Holding Company Inc.,84,2012,34671,
World Fuel Services Corporation,85,2012,34622.9,
New York Life Insurance Company,86,2012,34393.5,
"Plains All American Pipeline, L.P.",87,2012,34275,
Teachers Insurance and Annuity Association College Retiremen,88,2012,34079,
Aetna Inc.,89,2012,33779.8,
Sprint Nextel Corporation,90,2012,33679,
News Corporation,91,2012,33405,
General Dynamics Corporation,92,2012,32677,
The Allstate Corporation,93,2012,32654,
"HCA Holdings, Inc.",94,2012,32506,
American Express Company,95,2012,32282,
"Tyson Foods, Inc.",96,2012,32266,
Deere & Company,97,2012,32012.5,
Murphy Oil Corporation,98,2012,31446.3,
Philip Morris International Inc.,99,2012,31097,
Nationwide Mutual Insurance Co.,100,2012,30697.8,
Tesoro Corporation,101,2012,29927,
3M Company,102,2012,29611,
Time Warner Inc.,103,2012,28974,
Northrop Grumman Corporation,104,2012,28058,
DIRECTV,105,2012,27226,
"Publix Super Markets, Inc.",106,2012,27178.8,
McDonald's Corporation,107,2012,27006,
"Avnet, Inc.",108,2012,26534.4,
Tech Data Corporation,109,2012,26488.1,
"Macy's, Inc.",110,2012,26405,
International Paper Company,111,2012,26034,
"The Travelers Companies, Inc.",112,2012,25446,
Rite Aid Corporation,113,2012,25214.9,
"Staples, Inc.",114,2012,25022.2,
Alcoa Inc.,115,2012,24951,
"Northwestern Mutual Life Insurance Company,Inc.",116,2012,24861,
Raytheon Company,117,2012,24857,
Halliburton Company,118,2012,24829,
Eli Lilly and Company,119,2012,24286.5,
Emerson Electric Co.,120,2012,24234,
Massachusetts Mutual Life Insurance Company,121,2012,24226.4,
Occidental Petroleum Corporation,122,2012,24216,
AMR Corporation,123,2012,23979,
Fluor Corporation,124,2012,23381.4,
"The TJX Companies, Inc.",125,2012,23191.5,
The Goodyear Tire & Rubber Company,126,2012,22767,
Xerox Corporation,127,2012,22626,
Aflac Incorporated,128,2012,22171,
Manpower Inc.,129,2012,22006,
CIGNA Corporation,130,2012,21998,
The Hartford Financial Services Group Inc.,131,2012,21918,
U.S. Bancorp,132,2012,21399,
"Arrow Electronics, Inc",133,2012,21390.3,
Bristol-Myers Squibb Company,134,2012,21244,
Freeport-McMoRan Copper & Gold Inc.,135,2012,20880,
"Nike, Inc.",136,2012,20862,
Kimberly-Clark Corporation,137,2012,20846,
Nucor Corporation,138,2012,20023.6,
EMC Corporation,139,2012,20007.6,
United States Steel Corporation,140,2012,19884,
Baker Hughes Incorporated,141,2012,19831,
Time Warner Cable Inc.,142,2012,19675,
Union Pacific Corporation,143,2012,19557,
United Services Automobile Association,144,2012,19036.1,
Exelon Corporation,145,2012,18924,
Kohl's Corporation,146,2012,18804,
Whirlpool Corporation,147,2012,18666,
Capital One Financial Corporation,148,2012,18525,
Illinois Tool Works Inc.,149,2012,18256.8,
Cummins Inc.,150,2012,18048,
The AES Corporation,151,2012,17759,
The Southern Company,152,2012,17657,
"J.C. Penney Company, Inc.",153,2012,17260,
Apache Corporation,154,2012,16888,
Colgate-Palmolive Company,155,2012,16734,
"Altria Group, Inc.",156,2012,16619,
"Jabil Circuit, Inc.",157,2012,16518.8,
Danaher Corporation,158,2012,16476.4,
PACCAR Inc,159,2012,16355.2,
FirstEnergy Corp.,160,2012,16258,
TRW Automotive Holdings Corp.,161,2012,16244,
Computer Sciences Corporation,162,2012,16144,
Eaton Corporation,163,2012,16049,
"Medtronic, Inc.",164,2012,15933,
"The PNC Financial Services Group, Inc.",165,2012,15820,
The Bank of New York Mellon Corporation,166,2012,15804,
Southwest Airlines Co.,167,2012,15658,
Amgen Inc.,168,2012,15582,
The Progressive Corporation,169,2012,15508.1,
HollyFrontier Corporation,170,2012,15439.5,
"CenturyLink, Inc.",171,2012,15351,
"NextEra Energy, Inc.",172,2012,15341,
Marathon Oil Corporation,173,2012,15282,
"L-3 Communications Holdings, Inc.",174,2012,15169,
"Oneok, Inc.",175,2012,15119.2,
"American Electric Power Company, Inc.",176,2012,15116,
Viacom Inc.,177,2012,14963,
Qualcomm Incorporated,178,2012,14962,
PG&E Corporation,179,2012,14956,
"PPG Industries, Inc.",180,2012,14885,
"General Mills, Inc.",181,2012,14880.2,
Global Partners LP,182,2012,14835.7,
Dollar General Corporation,183,2012,14807.2,
"National Oilwell Varco, Inc.",184,2012,14658,
"The Gap, Inc.",185,2012,14549,
Duke Energy Corporation,186,2012,14529,
"Dominion Resources, Inc.",187,2012,14379,
CBS Corporation,188,2012,14245,
Lear Corporation,189,2012,14156.5,
Loews Corporation,190,2012,14127,
DISH Network Corporation,191,2012,14048.4,
Anadarko Petroleum Corporation,192,2012,13967,
Navistar International Corporation,193,2012,13958,
"Toys ""R"" Us, Inc.",194,2012,13909,
Baxter International Inc.,195,2012,13893,
Omnicom Group Inc.,196,2012,13872.5,
"AutoNation, Inc.",197,2012,13832.4,
"Community Health Systems, Inc.",198,2012,13817,
"Constellation Energy Group, Inc.",199,2012,13758.2,
Texas Instruments Incorporated,200,2012,13735,
Ally Financial Inc.,201,2012,13642,
The Chubb Corporation,202,2012,13585,
"Waste Management, Inc.",203,2012,13378,
Aramark Corporation,204,2012,13244.7,
Kellogg Company,205,2012,13198,
"Motorola Mobility Holdings, Inc.",206,2012,13064,
Dean Foods Company,207,2012,13055.5,
"US Airways Group, Inc.",208,2012,13055,
"Consolidated Edison, Inc.",209,2012,12938,
"Land O'Lakes, Inc.",210,2012,12849.3,
Edison International,211,2012,12760,
PPL Corporation,212,2012,12756,
"Yum! Brands, Inc.",213,2012,12626,
Genuine Parts Company,214,2012,12458.9,
"ConAgra Foods, Inc.",215,2012,12395.5,
Parker-Hannifin Corporation,216,2012,12345.9,
"Marriott International, Inc.",217,2012,12317,
"Smithfield Foods, Inc.",218,2012,12202.7,
"Coventry Health Care, Inc.",219,2012,12186.7,
Sara Lee Corporation,220,2012,12103,
"Health Net, Inc.",221,2012,11901,
"Penske Automotive Group, Inc.",222,2012,11869.5,
Icahn Enterprises L.P.,223,2012,11855,
Monsanto Company,224,2012,11822,
Thermo Fisher Scientific Inc.,225,2012,11780.2,
CSX Corporation,226,2012,11743,
Starbucks Corporation,227,2012,11700.4,
eBay Inc.,228,2012,11651.7,
Chesapeake Energy Corporation,229,2012,11635,
Liberty Interactive Corporation,230,2012,11624,
"Marsh & McLennan Companies, Inc.",231,2012,11526,
Devon Energy Corporation,232,2012,11497,
"Office Depot, Inc.",233,2012,11489.5,
"Avon Products, Inc.",234,2012,11291.6,
Aon Corporation,235,2012,11287,
Textron Inc.,236,2012,11275,
Huntsman Corporation,237,2012,11259,
"Praxair, Inc.",238,2012,11252,
Entergy Corporation,239,2012,11229.1,
Public Service Enterprise Group Inc.,240,2012,11191,
Norfolk Southern Corporation,241,2012,11172,
"Nordstrom, Inc.",242,2012,10877,
First Data Corporation,243,2012,10713.6,
H.J. Heinz Company,244,2012,10706.6,
"SAIC, Inc.",245,2012,10657,
Xcel Energy Inc.,246,2012,10654.8,
Lincoln National Corporation,247,2012,10635.6,
"Ameriprise Financial, Inc.",248,2012,10621,
R.R. Donnelley & Sons Company,249,2012,10611,
Guardian Life Ins. Co. of America,250,2012,10571.3,
"Applied Materials, Inc.",251,2012,10517,
"Stanley Black & Decker, Inc.",252,2012,10437.6,
Synnex Corporation,253,2012,10409.8,
Jacobs Engineering Group Inc.,254,2012,10381.7,
"Peter Kiewit Sons', Inc.",255,2012,10381,
"Limited Brands, Inc.",256,2012,10364,
Newmont Mining Corporation,257,2012,10358,
"Genworth Financial , Inc.",258,2012,10344,
"C. H. Robinson Worldwide, Inc.",259,2012,10336.3,
Unum Group,260,2012,10278,
"Liberty Global, Inc.",261,2012,10246.5,
State Street Corporation,262,2012,10207,
"EOG Resources, Inc.",263,2012,10126.1,
"Whole Foods Market, Inc.",264,2012,10107.8,
"Air Products & Chemicals, Inc.",265,2012,10082,
Sempra Energy,266,2012,10036,
BB&T Corporation,267,2012,9998,
The Mosaic Company,268,2012,9937.8,
"Automatic Data Processing, Inc.",269,2012,9879.5,
CDW Corporation,270,2012,9602.4,
"SunTrust Banks, Inc.",271,2012,9602,
Tenet Healthcare Corporation,272,2012,9601,
GameStop Corp.,273,2012,9550.5,
"Motorola Solutions, Inc.",274,2012,9549,
URS Corporation,275,2012,9545,
Western Digital Corporation,276,2012,9526,
V.F. Corporation,277,2012,9459.2,
Las Vegas Sands Corp.,278,2012,9410.7,
"CarMax, Inc.",279,2012,9402.2,
"KBR, Inc.",280,2012,9261,
Visa Inc.,281,2012,9188,
"Enbridge Energy Partners, L.P.",282,2012,9109.8,
"BlackRock, Inc.",283,2012,9081,
"NRG Energy, Inc.",284,2012,9079,
"Western Refining, Inc.",285,2012,9071,
"Progress Energy, Inc.",286,2012,8907,
DTE Energy Company,287,2012,8897,
"Reinsurance Group of America, Incorporated",289,2012,8829.5,
Caesars Entertainment Corporation,290,2012,8810,
"Micron Technology, Inc.",291,2012,8788,
AGCO Corporation,292,2012,8773.2,
The Sherwin-Williams Company,293,2012,8765.7,
Bed Bath & Beyond Inc.,294,2012,8758.5,
"Principal Financial Group, Inc.",295,2012,8709.6,
"Crown Holdings, Inc.",296,2012,8644,
Ball Corporation,297,2012,8630.9,
"Owens & Minor, Inc.",298,2012,8627.9,
"Ross Stores, Inc.",299,2012,8608.3,
Discover Financial Services,300,2012,8550.3,
"Family Dollar Stores, Inc.",301,2012,8547.8,
Reynolds American Inc.,302,2012,8541,
"Henry Schein, Inc.",303,2012,8530.2,
Dover Corporation,304,2012,8501.9,
"CenterPoint Energy, Inc.",305,2012,8450,
"Gilead Sciences, Inc.",306,2012,8385.4,
Ashland Inc.,307,2012,8370,
Stryker Corporation,308,2012,8307,
"Hertz Global Holdings, Inc.",309,2012,8298.4,
"Assurant, Inc.",310,2012,8272.8,
"Kinder Morgan, Inc.",311,2012,8264.9,
"Energy Transfer Equity, L.P.",312,2012,8240.7,
"Autoliv, Inc.",313,2012,8232.4,
"Republic Services, Inc.",314,2012,8192.9,
Reliance Steel & Aluminum Co.,315,2012,8134.7,
Peabody Energy Corporation,316,2012,8096,
"The Great Atlantic & Pacific Tea Company, Inc.",317,2012,8078.5,
"W.W. Grainger, Inc.",318,2012,8078.2,
Goodrich Corporation,319,2012,8074.9,
"AutoZone, Inc.",320,2012,8073,
Visteon Corporation,321,2012,8047,
AECOM Technology Corporation,322,2012,8037.4,
"Steel Dynamics, Inc.",323,2012,7997.5,
"Coca-Cola Enterprises, Inc.",324,2012,7939,
"The Williams Companies, Inc.",325,2012,7930,
Commercial Metals Company,326,2012,7919.8,
Hormel Foods Corporation,327,2012,7895.1,
Corning Incorporated,328,2012,7890,
TravelCenters of America LLC,329,2012,7888.9,
"Sonic Automotive, Inc.",330,2012,7871.3,
MGM Resorts International,331,2012,7849.3,
Thrivent Financial for Lutherans,332,2012,7842.8,
"Becton, Dickinson and Company",333,2012,7832.1,
Campbell Soup Company,334,2012,7719,
Boston Scientific Corporation,335,2012,7622,
Dana Holding Corporation,336,2012,7592,
Oshkosh Corporation,337,2012,7584.7,
Masco Corporation,338,2012,7560,
"Universal Health Services, Inc.",339,2012,7534.1,
Ameren Corporation,340,2012,7531,
Quest Diagnostics Incorporated,341,2012,7510.5,
"Darden Restaurants, Inc.",342,2012,7500.2,
Regions Financial Corporation,343,2012,7427,
Broadcom Corporation,344,2012,7389,
"Owens-Illinois, Inc.",345,2012,7358,
Eastman Chemical Company,346,2012,7283,
"The Pantry, Inc.",347,2012,7271.8,
Cablevision Systems Corporation,348,2012,7252.3,
"Dole Food Company, Inc.",349,2012,7223.8,
Tenneco Inc.,350,2012,7205,
"Charter Communications, Inc.",351,2012,7204,
"Spectrum Group International, Inc.",352,2012,7203.4,
"Franklin Resources, Inc.",353,2012,7140,
OfficeMax Incorporated,354,2012,7121.2,
BorgWarner Inc.,355,2012,7114.7,
"Alpha Natural Resources, Inc.",356,2012,7109.2,
Energy Future Holdings Corp.,357,2012,7040,
"The Interpublic Group of Companies, Inc.",358,2012,7014.6,
DaVita Inc.,359,2012,6998.9,
"Barnes & Noble, Inc.",360,2012,6998.6,
Targa Resources Corp.,361,2012,6994.5,
Cameron International Corporation,362,2012,6959,
"Winn-Dixie Stores, Inc.",363,2012,6929.9,
Calpine Corporation,364,2012,6800,
Ecolab Inc.,365,2012,6798.5,
Cliffs Natural Resources Inc.,366,2012,6794.3,
Avery Dennison Corporation,367,2012,6786.7,
Celanese Corporation,368,2012,6763,
"NII Holdings, Inc.",369,2012,6719.3,
MasterCard Incorporated,370,2012,6714,
Jarden Corporation,371,2012,6679.9,
Fifth Third Bancorp,372,2012,6673,
"Dollar Tree, Inc.",373,2012,6630.5,
Weyerhaeuser Company,374,2012,6618,
"Agilent Technologies, Inc.",375,2012,6615,
Sanmina-SCI Corporation,376,2012,6602.4,
NuStar Energy L.P.,377,2012,6575.3,
"Advanced Micro Devices, Inc.",378,2012,6568,
Terex Corporation,379,2012,6504.6,
CMS Energy Corporation,380,2012,6503,
AK Steel Holding Corporation,381,2012,6468,
American Family Ins. Group,382,2012,6400.2,
"Dillard's, Inc.",383,2012,6399.8,
"The McGraw-Hill Companies, Inc.",384,2012,6336,
AMERIGROUP Corporation,385,2012,6318.4,
Anixter International Inc.,386,2012,6270.1,
Precision Castparts Corp.,387,2012,6267.2,
"Mattel, Inc.",388,2012,6266,
"Omnicare, Inc.",389,2012,6239.9,
"Corn Products International, Inc.",390,2012,6219.4,
Symantec Corporation,391,2012,6190,
"Advance Auto Parts, Inc.",392,2012,6170.5,
"Core-Mark Holding Company, Inc.",393,2012,6163.4,
"CC Media Holdings, Inc.",394,2012,6161.4,
"Expeditors International of Washington, Inc.",395,2012,6150.5,
Mylan Inc.,396,2012,6129.8,
"WESCO International, Inc.",397,2012,6125.7,
Cognizant Technology Solutions Corporation,398,2012,6121.2,
CONSOL Energy Inc.,399,2012,6117.2,
"PetSmart, Inc.",400,2012,6113.3,
"WellCare Health Plans, Inc.",401,2012,6106.9,
"CF Industries Holdings, Inc.",402,2012,6097.9,
UGI Corporation,403,2012,6091.3,
The Hershey Company,404,2012,6080.8,
"Group 1 Automotive, Inc.",405,2012,6079.8,
MeadWestvaco Corporation,406,2012,6079,
"Ryder System, Inc.",407,2012,6050.5,
Eastman Kodak Company,408,2012,6022,
NiSource Inc.,409,2012,6019.1,
"Rockwell Automation, Inc.",410,2012,6000.4,
Mutual of Omaha Insurance Company,411,2012,5974.1,
The Shaw Group Inc.,412,2012,5937.7,
Harris Corporation,413,2012,5924.6,
Newell Rubbermaid Inc.,414,2012,5923.4,
"Pepco Holdings, Inc.",415,2012,5920,
"CBRE Group, Inc.",416,2012,5912.1,
"Dr Pepper Snapple Group, Inc.",417,2012,5903,
"Avis Budget Group, Inc.",418,2012,5900,
PVH Corp.,419,2012,5890.6,
Pacific Life,420,2012,5879,
General Cable Corporation,421,2012,5866.7,
Exelis Inc.,422,2012,5839,
"Health Management Associates, Inc.",423,2012,5822.1,
"O'Reilly Automotive, Inc.",424,2012,5788.8,
"Fidelity National Information Services, Inc.",425,2012,5757.4,
SLM Corporation,426,2012,5756,
Seaboard Corporation,427,2012,5746.9,
"EMCOR Group, Inc.",428,2012,5731.7,
Auto-Owners Insurance Group,429,2012,5709.5,
SanDisk Corporation,430,2012,5662.1,
Ralph Lauren Corporation,431,2012,5660.3,
"Mohawk Industries, Inc.",432,2012,5642.3,
Sealed Air Corporation,433,2012,5640.9,
"Starwood Hotels & Resorts Worldwide, Inc.",434,2012,5624,
"Foot Locker, Inc.",435,2012,5623,
Domtar Corporation,436,2012,5612,
"St. Jude Medical, Inc.",437,2012,5611.7,
Spectra Energy Corp,438,2012,5602,
Booz Allen Hamilton Holding Corp.,439,2012,5591.3,
"CH2M HILL Companies, Ltd.",440,2012,5555.2,
"Kelly Services, Inc.",441,2012,5551,
Avaya Inc.,442,2012,5547,
Laboratory Corporation of America Holdings,443,2012,5542.3,
"Kindred Healthcare, Inc.",444,2012,5523.3,
The Western Union Company,445,2012,5491.4,
SPX Corporation,446,2012,5461.9,
NCR Corporation,447,2012,5443,
"Allergan, Inc.",448,2012,5419.1,
Rock-Tenn Company,449,2012,5399.6,
"Live Nation Entertainment, Inc.",450,2012,5384,
"Graybar Electric Company, Inc.",451,2012,5374.8,
Momentive Specialty Chemicals Inc.,452,2012,5352,
Centene Corporation,453,2012,5340.6,
Owens Corning,454,2012,5335,
"Catalyst Health Solutions, Inc.",455,2012,5329.6,
The Clorox Company,456,2012,5326,
"Bemis Company, Inc.",457,2012,5322.7,
"Harley-Davidson, Inc.",458,2012,5311.7,
Con-way Inc.,459,2012,5290,
"Insight Enterprises, Inc.",460,2012,5287.2,
Pitney Bowes Inc.,461,2012,5278,
"Wynn Resorts, Limited",462,2012,5269.8,
"BrightPoint, Inc.",463,2012,5244.4,
Frontier Communications Corporation,464,2012,5243,
"Gannett Co., Inc.",465,2012,5240,
"Dick's Sporting Goods, Inc.",466,2012,5211.8,
"Big Lots, Inc.",467,2012,5202.3,
Allegheny Technologies Incorporated,468,2012,5183,
"Telephone and Data Systems, Inc.",469,2012,5180.5,
The Timken Company,470,2012,5170.2,
W.R. Berkley Corporation,471,2012,5156,
"Fidelity National Financial, Inc.",472,2012,5153.7,
"Casey's General Stores, Inc.",473,2012,5140.2,
"NetApp, Inc.",474,2012,5122.6,
"FMC Technologies, Inc.",475,2012,5099,
Biogen Idec Inc.,476,2012,5048.6,
"CVR Energy, Inc.",477,2012,5029.1,
United Stationers Inc.,478,2012,5005.5,
"Host Hotels & Resorts, Inc.",479,2012,5003,
SunGard Data Systems Inc.,480,2012,4991,
Meritor Inc.,481,2012,4990,
Western & Southern Mutual Holding Company,482,2012,4986.4,
Yahoo! Inc.,483,2012,4984.2,
"Vanguard Health Systems, Inc.",484,2012,4895.9,
The Charles Schwab Corporation,485,2012,4884,
Susser Holdings Corporation,486,2012,4873.8,
YRC Worldwide Inc.,487,2012,4868.8,
El Paso Corporation,488,2012,4860,
CIT Group Inc.,489,2012,4855.3,
"MetroPCS Communications, Inc.",490,2012,4847.4,
Alliant Techsystems Inc.,491,2012,4842.3,
Celgene Corporation,492,2012,4842.1,
"MRC Global, Inc.",493,2012,4832.4,
Aleris Corporation,494,2012,4826.4,
The J.M. Smucker Company,495,2012,4825.7,
"Rockwell Collins, Inc.",496,2012,4825,
Erie Insurance Group,497,2012,4824,
Nash-Finch Company,498,2012,4807.2,
KeyCorp,499,2012,4780,
"Molina Healthcare, Inc.",500,2012,4769.9,
"Wal-Mart Stores, Inc.",1,2013,469162,16999
Exxon Mobil Corporation,2,2013,449886,44880
Chevron Corporation,3,2013,233899,26179
Phillips 66,4,2013,169551,4124
Berkshire Hathaway Inc.,5,2013,162463,14824
"Apple, Inc.",6,2013,156508,41733
General Motors Company,7,2013,152256,6188
General Electric Company,8,2013,146874,13641
Valero Energy Corporation,9,2013,138286,2083
Ford Motor Company,10,2013,134252,5665
AT&T Inc.,11,2013,127434,7264
Fannie Mae,12,2013,127230,17220
CVS Caremark Corporation,13,2013,123133,3876.9
McKesson Corporation,14,2013,122734,1403
Hewlett-Packard Company,15,2013,120357,-12650
Verizon Communications Inc.,16,2013,115846,875
UnitedHealth Group Incorporated,17,2013,110618,5526
J.P. Morgan Chase & Co.,18,2013,108184,21284
"Cardinal Health, Inc.",19,2013,107552,1069
International Business Machines Corporation,20,2013,104507,16604
Bank of America Corporation,21,2013,100078,4188
Costco Wholesale Corporation,22,2013,99137,1709
The Kroger Company,23,2013,96751.3,1496.5
Express Scripts Holding Company,24,2013,94416.7,1312.9
Wells Fargo & Company,25,2013,91247,18897
Citigroup Inc.,26,2013,90769,7541
Archer-Daniels-Midland Company,27,2013,89038,1223
The Procter & Gamble Company,28,2013,85120,10756
"Prudential Financial, Inc.",29,2013,84838,469
The Boeing Company,30,2013,81698,3900
Freddie Mac,31,2013,80635,10982
AmerisourceBergen Corp.,32,2013,79720.5,719
Marathon Petroleum Corporation,33,2013,76783,3389
"The Home Depot, Inc.",34,2013,74754,4535
Microsoft Corporation,35,2013,73723,16978
Target Corporation,36,2013,73301,2999
Walgreen Co.,37,2013,71633,2127
"American International Group, Inc.",38,2013,70143,3438
INTL FCStone Inc.,39,2013,69260.6,15
"MetLife, Inc.",40,2013,68224,1324
Johnson & Johnson,41,2013,67224,10853
Caterpillar Inc.,42,2013,65875,5681
"PepsiCo, Inc.",43,2013,65492,6178
State Farm Insurance Cos.,44,2013,65285.7,3159.2
ConocoPhillips,45,2013,63373,8428
Comcast Corporation,46,2013,62570,6203
"WellPoint, Inc.",47,2013,61711.7,2655.5
Pfizer Inc.,48,2013,61244,14570
"Amazon.com, Inc.",49,2013,61093,-39
United Technologies Corporation,50,2013,59783,5130
Dell Inc.,51,2013,56940,2372
The Dow Chemical Company,52,2013,56786,1182
"United Parcel Service, Inc.",53,2013,54127,807
Intel Corporation,54,2013,53341,11005
Google Inc.,55,2013,52203,10737
"Lowe's Companies, Inc.",56,2013,50521,1959
The Coca-Cola Company,57,2013,48017,9019
"Merck & Co., Inc.",58,2013,47267,6168
Lockheed Martin Corporation,59,2013,47182,2745
"Cisco Systems, Inc.",60,2013,46061,8041
"Best Buy Co., Inc.",61,2013,45087,-441
Safeway Inc.,62,2013,44206.5,596.5
FedEx Corporation,63,2013,42680,2032
Enterprise Products Partners L.P.,64,2013,42583.1,2419.9
Sysco Corporation,65,2013,42380.9,1121.6
The Walt Disney Company,66,2013,42278,5682
"Johnson Controls, Inc.",67,2013,41955,1226
"The Goldman Sachs Group, Inc.",68,2013,41664,7475
CHS Inc.,69,2013,40599.3,1260.6
Abbott Laboratories,70,2013,39873.9,5962.9
Sears Holdings Corporation,71,2013,39854,-930
E.I. du Pont de Nemours and Company,72,2013,39528,2788
Humana Inc.,73,2013,39126,1222
World Fuel Services Corporation,74,2013,38945.3,189.3
Hess Corporation,75,2013,38373,2025
Ingram Micro Inc.,76,2013,37827.3,305.9
"Plains All American Pipeline, L.P.",77,2013,37797,1094
Honeywell International Inc.,78,2013,37665,2926
"United Continental Holdings, Inc.",79,2013,37152,-723
Oracle Corporation,80,2013,37121,9981
Liberty Mutual Holding Company Inc.,81,2013,36944,829
"HCA Holdings, Inc.",82,2013,36783,1605
"Delta Air Lines, Inc.",83,2013,36670,1009
Aetna Inc.,84,2013,36595.9,1657.9
Deere & Company,85,2013,36157.1,3064.7
Supervalu Inc.,86,2013,36100,-1040
Sprint Nextel Corporation,87,2013,35345,-4326
"Mondelez International, Inc.",88,2013,35015,3028
New York Life Insurance Company,89,2013,34308.6,1333.2
